,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18
14,14,BACKGROUND,Orange,13% have this trait,CLOTHES,Tanktop,2% have this trait,EARRING,Diamond Stud,2% have this trait,EYES,3d,5% have this trait,FUR,Cheetah,4% have this trait,MOUTH,Small Grin,3% have this trait
15,15,BACKGROUND,Gray,12% have this trait,CLOTHES,Black T,3% have this trait,EYES,Zombie,3% have this trait,FUR,Gray,5% have this trait,HAT,Girl's Hair Pink,1% have this trait,MOUTH,Phoneme L,2% have this trait
16,16,BACKGROUND,Purple,13% have this trait,CLOTHES,Bone Necklace,2% have this trait,EARRING,Silver Hoop,9% have this trait,EYES,Bored,17% have this trait,FUR,Dark Brown,14% have this trait,HAT,Horns,3% have this trait
17,17,BACKGROUND,New Punk Blue,12% have this trait,CLOTHES,Bayc T Black,2% have this trait,EARRING,Gold Stud,4% have this trait,EYES,Closed,7% have this trait,FUR,Tan,6% have this trait,HAT,Commie Hat,3% have this trait
18,18,BACKGROUND,Purple,13% have this trait,CLOTHES,Vietnam Jacket,2% have this trait,EYES,Cyborg,1% have this trait,FUR,Robot,3% have this trait,MOUTH,Bored Cigarette,7% have this trait,,,
19,19,BACKGROUND,Army Green,12% have this trait,EYES,Eyepatch,3% have this trait,FUR,Tan,6% have this trait,HAT,Bayc Hat Black,2% have this trait,MOUTH,Rage,3% have this trait,,,
20,20,BACKGROUND,Blue,12% have this trait,CLOTHES,Bandolier,2% have this trait,EYES,3d,5% have this trait,FUR,Gray,5% have this trait,HAT,Beanie,6% have this trait,MOUTH,Phoneme Vuh,3% have this trait
21,21,BACKGROUND,Orange,13% have this trait,CLOTHES,Black Holes T,2% have this trait,EYES,Bored,17% have this trait,FUR,Black,12% have this trait,MOUTH,Phoneme  Ooo,3% have this trait,,,
22,22,BACKGROUND,New Punk Blue,12% have this trait,CLOTHES,Tuxedo Tee,2% have this trait,EARRING,Gold Stud,4% have this trait,EYES,Sleepy,8% have this trait,FUR,Zombie,3% have this trait,HAT,S&m Hat,2% have this trait
23,23,BACKGROUND,Aquamarine,13% have this trait,EYES,Bored,17% have this trait,FUR,Trippy,0.77% have this trait,HAT,Beanie,6% have this trait,MOUTH,Bored Pipe,1% have this trait,,,
24,24,BACKGROUND,Aquamarine,13% have this trait,CLOTHES,Bayc T Black,2% have this trait,EYES,Hypnotized,2% have this trait,FUR,Black,12% have this trait,HAT,Fez,4% have this trait,MOUTH,Dumbfounded,5% have this trait
25,25,BACKGROUND,Blue,12% have this trait,CLOTHES,Guayabera,2% have this trait,EYES,Closed,7% have this trait,FUR,Brown,14% have this trait,MOUTH,Bored Cigarette,7% have this trait,,,
26,26,BACKGROUND,Aquamarine,13% have this trait,CLOTHES,Stunt Jacket,2% have this trait,EYES,3d,5% have this trait,FUR,Dark Brown,14% have this trait,HAT,Stuntman Helmet,2% have this trait,MOUTH,Bored Cigarette,7% have this trait
27,27,BACKGROUND,Orange,13% have this trait,CLOTHES,Sleeveless T,3% have this trait,EYES,Bored,17% have this trait,FUR,Gray,5% have this trait,HAT,Army Hat,3% have this trait,MOUTH,Bored,23% have this trait
28,28,BACKGROUND,Purple,13% have this trait,EARRING,Silver Stud,8% have this trait,EYES,X Eyes,2% have this trait,FUR,Tan,6% have this trait,HAT,Bayc Flipped Brim,2% have this trait,MOUTH,Bored Cigarette,7% have this trait
29,29,BACKGROUND,Blue,12% have this trait,EYES,Robot,4% have this trait,FUR,Tan,6% have this trait,MOUTH,Bored Unshaven,16% have this trait,,,,,,
